n_bodies,n_threads,n_retries,mean_comp_time,hyper_threading
120,1,21,0.512201865514,True
120,2,21,0.430121671586,True
120,4,21,0.403391122818,True
120,6,21,0.391042970476,True
120,12,21,0.378881352288,True
120,24,21,0.404148499171,True
120,30,21,0.415681191853,True
120,40,21,0.453934385663,True
120,60,21,0.515586398897,True
120,120,21,0.665395509629,True
240,1,21,1.464676277978,True
240,2,21,1.097324859528,True
240,4,21,0.932572285334,True
240,6,21,0.882123027529,True
240,12,21,0.834249235335,True
240,24,21,0.820516847429,True
240,30,21,0.823813143231,True
240,40,21,0.831862336113,True
240,60,21,0.868661539895,True
240,120,21,1.087171406973,True
360,1,21,2.831890128908,True
360,2,21,1.954840603329,True
360,4,21,1.565375759488,True
360,6,21,1.481164148876,True
360,12,21,1.407071329298,True
360,24,21,1.332425072080,True
360,30,21,1.318471908569,True
360,40,21,1.320785011564,True
360,60,21,1.334197680155,True
360,120,21,1.456867161251,True
480,1,21,4.696612744104,True
480,2,21,3.066101687295,True
480,4,21,2.258418310256,True
480,6,21,2.214987595876,True
480,12,21,2.010959716070,True
480,24,21,1.931676864624,True
480,30,21,1.896984418233,True
480,40,21,1.894411768232,True
480,60,21,1.891788357780,True
480,120,21,1.995839311963,True
600,1,21,7.164971658162,True
600,2,21,4.383087771279,True
600,4,21,3.140314329238,True
600,6,21,3.020598604566,True
600,12,21,2.691243410110,True
600,24,21,2.608902227311,True
600,30,21,2.557773828506,True
600,40,21,2.574932688758,True
600,60,21,2.534042381105,True
600,120,21,2.618782361348,True
720,1,21,10.473243020830,True
720,2,21,6.168913932074,True
720,4,21,4.241963148117,True
720,6,21,4.010261433465,True
720,12,21,3.529450496038,True
720,24,21,3.411868333817,True
720,30,21,3.349807001296,True
720,40,21,3.394943010239,True
720,60,21,3.330553599766,True
720,120,21,3.383826823462,True
840,1,21,14.888266222818,True
840,2,21,8.771372272855,True
840,4,21,5.683771496727,True
840,6,21,5.382051297597,True
840,12,21,4.471341780254,True
840,24,21,4.352439812251,True
840,30,21,4.330340601149,True
840,40,21,4.334286235628,True
840,60,21,4.328989880426,True
840,120,21,4.308471339090,True
960,1,15,20.124492438634,True
960,2,21,12.021059331440,True
960,4,21,7.377409503573,True
960,6,21,6.821273236048,True
960,12,21,5.411025876091,True
960,24,21,5.308833837509,True
960,30,21,5.415443386350,True
960,40,21,5.436832870756,True
960,60,21,5.378845555442,True
960,120,21,5.399828240985,True
1080,1,12,26.455895642440,True
1080,2,20,15.524099481106,True
1080,4,21,9.150306213470,True
1080,6,21,8.368570441291,True
1080,12,21,6.493690785908,True
1080,24,21,6.393638065883,True
1080,30,21,6.600475118274,True
1080,40,21,6.615105299723,True
1080,60,21,6.573674236025,True
1080,120,21,6.593483448029,True
1200,1,10,31.666834139824,True
1200,2,17,19.282007343629,True
1200,4,21,11.795472133727,True
1200,6,21,10.132348412559,True
1200,12,21,7.712164912905,True
1200,24,21,7.636624642781,True
1200,30,21,7.888078939347,True
1200,40,21,7.906516574678,True
1200,60,21,7.831599950790,True
1200,120,21,7.910012858255,True
1320,1,8,37.595153242350,True
1320,2,15,23.124545129140,True
1320,4,21,14.036036389215,True
1320,6,21,11.940041553406,True
1320,12,21,9.046607176463,True
1320,24,21,8.961661077681,True
1320,30,21,9.260418460483,True
1320,40,21,9.273415293012,True
1320,60,21,9.148730436961,True
1320,120,21,9.226787192481,True
1440,1,7,45.266892739705,True
1440,2,11,27.256913510236,True
1440,4,19,16.371816773164,True
1440,6,21,14.069844847634,True
1440,12,21,10.554691950480,True
1440,24,21,10.484884738922,True
1440,30,21,10.787372623171,True
1440,40,21,10.756336734408,True
1440,60,21,10.676408018385,True
1440,120,21,10.801269122532,True
1560,1,6,51.731661121051,True
1560,2,10,31.848972582817,True
1560,4,16,19.057204172015,True
1560,6,19,16.347590709987,True
1560,12,21,12.210050355820,True
1560,24,21,12.176102411179,True
1560,30,21,12.479114259992,True
1560,40,21,12.397585709890,True
1560,60,21,12.300687619618,True
1560,120,21,12.469830183756,True
1680,1,6,58.930412491163,True
1680,2,9,36.653887271881,True
1680,4,14,22.190398199218,True
1680,6,16,19.221532195807,True
1680,12,18,17.019227491485,True
1680,24,20,15.453969001770,True
1680,30,21,14.613922391619,True
1680,40,21,14.607902935573,True
1680,60,21,14.542666866666,True
1680,120,21,14.781610477538,True
1800,1,5,66.055593252182,True
1800,2,8,40.868381530046,True
1800,4,13,25.199909888781,True
1800,6,14,21.717912571771,True
1800,12,15,21.035164562861,True
1800,24,17,18.448629449396,True
1800,30,18,16.980871333016,True
1800,40,18,17.054750270314,True
1800,60,18,16.852501908938,True
1800,120,18,16.823507746061,True
1920,1,4,75.778793036938,True
1920,2,7,48.111385856356,True
1920,4,11,28.511769554832,True
1920,6,13,24.439151305419,True
1920,12,14,21.940778868539,True
1920,24,16,19.829881936312,True
1920,30,16,18.741018444300,True
1920,40,17,18.645842201570,True
1920,60,17,18.524451536291,True
1920,120,17,18.709256410599,True
2040,1,4,93.307273447514,True
2040,2,6,54.937892993291,True
2040,4,10,32.332579541206,True
2040,6,11,29.779890450564,True
2040,12,12,26.290133158366,True
2040,24,13,23.734141368132,True
2040,30,14,22.397347007479,True
2040,40,14,22.381843856403,True
2040,60,14,22.081242118563,True
2040,120,14,21.663549491337,True
2160,1,4,95.845423042774,True
2160,2,6,59.549546559652,True
2160,4,9,35.488096316655,True
2160,6,10,30.529184341431,True
2160,12,11,28.471350648186,True
2160,24,12,25.788601597150,True
2160,30,13,24.412919466312,True
2160,40,13,23.840894002181,True
2160,60,13,23.580176463494,True
2160,120,13,23.381097335082,True
2280,1,3,110.173017978668,True
2280,2,5,67.401491928101,True
2280,4,8,39.229554980993,True
2280,6,9,35.339584324095,True
2280,12,10,32.442660236359,True
2280,24,11,29.798965063962,True
2280,30,11,28.302037997679,True
2280,40,11,28.197124372829,True
2280,60,12,27.061315278212,True
2280,120,12,26.255274256070,True
2400,1,3,118.224571545919,True
2400,2,4,74.214507997036,True
2400,4,8,42.836992591619,True
2400,6,9,36.827522463269,True
2400,12,10,33.190786004066,True
2400,24,10,30.096707391739,True
2400,30,11,28.595061540604,True
2400,40,11,28.729547522285,True
2400,60,11,28.361012480476,True
2400,120,11,27.866932370446,True
